Date,1 Month Treasury
7/31/2001,0.0367
8/31/2001,0.034
10/31/2001,0.0215
11/30/2001,0.0187
12/31/2001,0.0168
1/31/2002,0.0169
2/28/2002,0.0176
4/30/2002,0.0177
5/31/2002,0.0172
7/31/2002,0.0173
9/30/2002,0.016
10/31/2002,0.0148
12/31/2002,0.012
1/31/2003,0.0117
2/28/2003,0.0121
3/31/2003,0.0116
4/30/2003,0.0113
6/30/2003,0.0081
7/31/2003,0.0091
9/30/2003,0.0087
10/31/2003,0.0096
12/31/2003,0.009
3/31/2004,0.0096
4/30/2004,0.0083
6/30/2004,0.0117
8/31/2004,0.0145
9/30/2004,0.0147
11/30/2004,0.0207
12/31/2004,0.0189
1/31/2005,0.0206
2/28/2005,0.0251
3/31/2005,0.0263
5/31/2005,0.028
6/30/2005,0.0299
8/31/2005,0.0341
9/30/2005,0.0315
10/31/2005,0.0377
11/30/2005,0.04
1/31/2006,0.0437
2/28/2006,0.0447
3/31/2006,0.0465
5/31/2006,0.0475
6/30/2006,0.0454
7/31/2006,0.0502
8/31/2006,0.0512
10/31/2006,0.0518
11/30/2006,0.0522
1/31/2007,0.05
2/28/2007,0.0524
4/30/2007,0.048
5/31/2007,0.0478
7/31/2007,0.0513
8/31/2007,0.0402
10/31/2007,0.0401
11/30/2007,0.0363
12/31/2007,0.0276
1/31/2008,0.0164
2/29/2008,0.0207
3/31/2008,0.0122
4/30/2008,0.0117
6/30/2008,0.016
7/31/2008,0.0155
9/30/2008,0.0102
10/31/2008,0.0012
12/31/2008,0.0011
3/31/2009,0.0017
4/30/2009,0.0004
6/30/2009,0.0017
7/31/2009,0.0014
8/31/2009,0.0011
9/30/2009,0.0006
11/30/2009,0.0008
12/31/2009,0.0004
3/31/2010,0.0015
4/30/2010,0.0014
6/30/2010,0.0017
8/31/2010,0.0016
9/30/2010,0.0014
11/30/2010,0.0018
12/31/2010,0.0007
1/31/2011,0.0015
2/28/2011,0.0013
3/31/2011,0.0005
5/31/2011,0.0004
6/30/2011,0.0001
8/31/2011,0.0001
9/30/2011,0.0002
10/31/2011,0.0002
11/30/2011,0.0002
1/31/2012,0.0004
2/29/2012,0.0008
4/30/2012,0.0007
5/31/2012,0.0003
7/31/2012,0.0007
8/31/2012,0.0009
10/31/2012,0.0009
11/30/2012,0.0011
12/31/2012,0.0002
1/31/2013,0.0004
2/28/2013,0.0007
4/30/2013,0.0003
5/31/2013,0.0003
7/31/2013,0.0003
9/30/2013,0.0003
10/31/2013,0.0003
12/31/2013,0.0001
1/31/2014,0.0003
2/28/2014,0.0004
3/31/2014,0.0003
4/30/2014,0.0002
6/30/2014,0.0002
7/31/2014,0.0001
9/30/2014,0.0002
10/31/2014,0.0001
12/31/2014,0.0003
3/31/2015,0.0005
4/30/2015,0
6/30/2015,0.0002
7/31/2015,0.0004
8/31/2015,0
9/30/2015,0
11/30/2015,0.0011
12/31/2015,0.0014
2/29/2016,0.0023
3/31/2016,0.0018
5/31/2016,0.0027
6/30/2016,0.002
8/31/2016,0.0026
9/30/2016,0.002
10/31/2016,0.002
11/30/2016,0.0038
1/31/2017,0.005
2/28/2017,0.004
3/31/2017,0.0074
5/31/2017,0.0086
6/30/2017,0.0084
7/31/2017,0.01
8/31/2017,0.0095
10/31/2017,0.0099
11/30/2017,0.0114
1/31/2018,0.0143
2/28/2018,0.015
4/30/2018,0.0165
5/31/2018,0.0176
7/31/2018,0.0194
8/31/2018,0.0195
10/31/2018,0.022
11/30/2018,0.0231
12/31/2018,0.0244
1/31/2019,0.0242
2/28/2019,0.0244
4/30/2019,0.0243
5/31/2019,0.0235
7/31/2019,0.0201
9/30/2019,0.0191
10/31/2019,0.0159
12/31/2019,0.0148
1/31/2020,0.0156
3/31/2020,0.0005
4/30/2020,0.001
6/30/2020,0.0013
7/31/2020,0.0009
8/31/2020,0.0008
9/30/2020,0.0008
11/30/2020,0.0008
12/31/2020,0.0008
3/31/2021,0.0001
4/30/2021,0.0001
6/30/2021,0.0005
8/31/2021,0.0003
9/30/2021,0.0007
11/30/2021,0.0011
12/31/2021,0.0006
1/31/2022,0.0003
